"PrecoMin","PotenciaMotor","TorqueMax","Freios","Tracao","CapacidadeBateria","AlcanceWLTP","PesoMinimo","PesoBrutoPermitido","CapacidadeMaxCargaPeso","Assentos","Portas","TamanhoPneu","VelocidadeMaxima","PortaMalas","Aceleracao","PotenciaMaximaCargaDC","ConsumoMedioEnergia"
345700,360,664,1,3,95,438,2565,3130,640,5,5,19,200,660,5.7,150,24.45
308400,313,540,1,3,71,340,2445,3040,670,5,5,19,190,660,6.8,150,23.8
414900,503,973,1,3,95,364,2695,3130,565,5,5,20,210,660,4.5,150,27.55
319700,313,540,1,3,71,346,2445,3040,640,5,5,19,190,615,6.8,150,23.3
357000,360,664,1,3,95,447,2595,3130,670,5,5,19,200,615,5.7,150,23.85
426200,503,973,1,3,95,369,2695,3130,565,5,5,20,210,615,4.5,150,27.2
169700,170,250,1,2,42.2,359,1440,1730,440,4,5,19,160,260,8.1,50,13.1
184200,184,270,1,2,42.2,345,1460,1730,440,4,5,20,160,260,6.9,50,14.3
282900,286,400,1,2,80,460,2260,2725,540,5,5,19,180,510,6.8,150,18.8
125000,136,260,1,1,50,350,1541,2000,459,5,5,16,150,380,9.5,100,17.3
159900,136,260,1,1,50,320,1523,1975,450,5,5,17,150,350,8.7,100,15.6
152900,136,315,1,2,35.5,222,1514,1855,342,5,5,16,145,171,9,100,17.2
165900,154,315,1,2,35.5,222,1543,1870,350,5,5,17,145,171,8.3,100,17.5
184500,136,295,1,1,38.3,311,1527,1970,518,5,5,16,165,357,9.9,100,13.8
154400,136,395,1,1,39.2,289,1535,2020,485,5,5,17,155,332,9.7,100,15
178400,204,395,1,1,64,449,1685,2170,485,5,5,17,167,332,7.6,100,15.4
359500,400,696,1,3,90,470,2208,2670,537,5,5,20,200,656,4.8,100,21.2
146990,136,395,1,1,39.2,289,1592,2080,488,5,5,17,155,451,9.8,100,15.3
167990,204,395,1,1,64,455,1737,2230,493,5,5,17,167,451,7.8,100,15.9
139900,136,395,1,1,39.2,276,1535,1682,490,5,5,17,157,315,9.9,100,15.6
160990,204,395,1,1,64,452,1535,1682,498,5,5,17,167,315,7.9,100,15.7
142900,145,270,1,1,35.5,200,1645,2119,474,5,5,18,140,350,9.7,37,14.5
334700,408,760,1,3,80,414,2495,2940,445,5,5,19,180,500,5.1,110,21.85
139900,184,270,1,1,28.9,234,1300,1770,480,4,3,16,150,211,7.3,50,16.75
122900,150,320,1,1,40,270,1545,1995,450,5,5,16,144,435,7.9,50,18.5
164000,217,340,1,1,62,385,1705,2140,435,5,5,17,157,435,6.9,100,17.1
128900,136,260,1,1,50,337,1530,1916,367,5,5,16,150,267,8.1,100,16.65
139900,136,260,1,1,50,324,1598,2015,417,5,5,16,150,310,9,100,17.6
124900,136,260,1,1,50,340,1455,1918,463,5,5,16,150,311,8.1,100,16.4
149400,136,260,1,1,50,320,1548,2030,482,5,5,16,150,434,8.5,100,18.4
457000,435,640,1,3,79.2,407,2215,2880,740,4,4,19,250,488,4,225,23.4
482283,490,650,1,3,93.4,463,2295,2880,660,4,4,19,250,488,4,270,24.1
653000,625,850,1,3,93.4,450,2380,2880,575,4,4,20,260,447,3.2,270,24.85
794000,625,1050,1,3,93.4,412,2370,2870,575,4,4,21,260,447,2.8,270,25.1
135900,108,225,1,1,52,395,1502,1988,425,5,5,15,135,338,11.4,50,16.5
142900,135,245,1,1,52,395,1502,1988,486,5,5,16,140,338,9.5,50,16.5
82050,83,212,2,1,36.8,260,1178,1530,367,4,5,14,130,250,12.3,40,15.45
96900,82,160,2,2,17.6,154,1035,1310,290,2,3,15,130,185,11.6,22,16.35
98900,82,160,2,2,17.6,148,1140,1570,445,4,5,15,130,260,12.7,22,17
195490,285,450,1,2,54,430,1626,2694,389,5,5,18,225,425,5.6,150,14.6
235490,372,510,1,3,75,580,1862,2232,388,5,5,18,233,425,4.4,150,15.4
260490,480,639,1,3,75,567,1862,2232,388,5,5,20,261,425,3.3,150,16.3
368990,525,755,1,3,100,652,2391,2694,479,5,5,19,250,745,3.8,150,17.8
443990,772,1140,1,3,100,639,2417,2720,479,5,5,21,261,745,2.5,150,18.3
407990,525,755,1,3,100,561,2464,3079,525,7,5,20,250,857,4.6,150,20.4
482990,772,1140,1,3,100,548,2524,3120,623,7,5,20,261,857,2.8,150,22.1
97990,83,210,2,1,32.3,258,1235,1530,370,4,5,14,130,250,11.9,40,14
155890,204,310,2,2,58,425,1805,2270,540,5,5,18,160,385,7.3,100,15.4
179990,204,310,2,2,77,549,1934,2280,412,5,5,19,160,385,7.9,125,15.9
202390,204,310,2,2,77,500,2124,2660,661,5,5,20,160,543,8.5,125,18
215400,136,260,1,1,50,230,1969,2810,1056,8,5,16,130,603,13.1,100,25.2
164328,109,254,1,1,40,200,1592,2250,658,5,5,15,123,870,14,50,25.9
